ID_loukas,105_LG_Bas_clean.tps,105_LG_Bas_ID_added.tps,ID,Amy's ID number,Length,Max Width,LMW_matlab,BASI_matlab,AW,Age,spit,nodule_X,nodule_two_or_more,nodule_Area,raw_material,DISCARD,SITE,SITE_detail,SITE_GROUPED,AMY NOTES,Pit,TP,Spit,Plotted,Image J ID,SpecimenID,Notes,TP spit,Lustre,Weight,Category,Breakage,LONG/TRAN Breakage type,Retouch,Flake category,Cortex,Event size,Core,bipolar,import_2,import,Use_wear,CONJOIN SET,Perc. length,BASI,CON NO PIECES,CON WITH,CON TYPE,Complete refit,Platform,O'hang rem.,Plat crushing,Ext. Plat. Angle,Termination,BF FORM,Dorsal scars,Arris,Platform width,Max P width,Termination width,Plat thick,Max_thick,BA max back thick,BA FORM,BA backed edge no,BA cut edge,BA max width,LMW,BA backed edge 1,BA backed edge 2,BA backed edge 3,Heat Damage/surface pitting,Potlid,Area,Max_Length,Max_Width,elongation,FeretX,FeretY,Feret angle,Perimeter,Round
1195,ID=1195,ID=1195QUNAABCF,1195,AW19500,12.064,11.046,1.691,0.280338196,19500,1200-1500,6,F1 QUARTZ,F QUARTZ,F1,QUARTZ,UNKNOWN,BCJ AREA F,BCJ AREA F - area 1 - north,Lake George,,F48,,6,No,14,19500,,3 (20-30cm),,0.81,Flake,1,,backed,Backed artefact,,,,,CR - BA,CR - BA,No,,,0,,,,y,,,,,,,,,,,,,5.88,5.88,2,3,11.91,,,13.57,8.1,7.95,,,100.3,16.7,10,1.67,76.75,42.75,64.204,47.406,0.612
1196,ID=1196,ID=1196QUNAABCF,1196,AW19926,10.565,9.169,2.225,0.421202082,19926,1200-1500,4,F1 QUARTZ,F QUARTZ,F1,QUARTZ,UNKNOWN,BCJ AREA F,BCJ AREA F - area 1 - north,Lake George,,F54,,4,No,15,19926,,2 (10-20cm),,0.37,Flake,1,,backed,Backed artefact,,,,,CR - BA,CR - BA,No,,,0,,,,y,,,,,,,,,,,,,3.15,3.71,2,3,10.64,,,10.05,4.09,9.43,,,74.9,12.3,9.6,1.28125,52.75,54,4.667,36.102,0.806
1197,ID=1197,ID=1197QUNAABCF,1197,AW20034,8.712,11.324,3.611,0.828971534,20034,1200-1500,6,F1 QUARTZ,F QUARTZ,F1,QUARTZ,UNKNOWN,BCJ AREA F,BCJ AREA F - area 1 - north,Lake George,,F54,,6,No,4,20034,,3 (20-30cm),,0.35,Flake,1,,backed,Backed artefact,,,,,CR - BA,CR - BA,No,,,0,,,,y,,,,,,,,,,,,,4.05,4.12,6,2,9.26,,,11.65,11.92,,,,70.3,11.8,9,1.311111111,14.5,189.5,53.616,36.627,0.738
1198,ID=1198,ID=1198QUNAABCF,1198,AW20067,16.162,11.881,4.913,0.607969311,20067,1200-1500,6,F1 QUARTZ,F QUARTZ,F1,QUARTZ,UNKNOWN,BCJ AREA F,BCJ AREA F - area 1 - north,Lake George,,F54,,6,No,37,20067,,3 (20-30cm),,1.12,Flake,1,,backed,Backed artefact,,,,,CR - BA,CR - BA,No,,,0,,,,y,,,,,,,,,,,,,5.68,5.38,6,2,16.76,,,15.41,13.27,,,,145.8,18.3,12.5,1.464,17.25,53.75,68.344,55.477,0.662
1199,ID=1199,ID=1199QUNAABCF,1199,AW20399,13.955,10.323,6.362,0.91178789,20399,1200-1500,6,F1 QUARTZ,F QUARTZ,F1,QUARTZ,UNKNOWN,BCJ AREA F,BCJ AREA F - area 1 - north,Lake George,,F57,,6,No,44,20399,,3 (20-30cm),,0.46,Flake,1,,backed,Backed artefact,,,,,CR - BA,CR - BA,No,,,0,,,,y,,,,,,,,,,,,,4.13,3.8,6,1,14.62,,,10.87,,,,,90.6,14.4,10.7,1.345794393,37.75,145,54.926,41.006,0.813
1200,ID=1200,ID=1200QUNAABCF,1200,AW20442,14.306,10.842,6.445,0.901020551,20442,1200-1500,6,F1 QUARTZ,F QUARTZ,F1,QUARTZ,UNKNOWN,BCJ AREA F,BCJ AREA F - area 1 - north,Lake George,,F57,,6,No,87,20442,,3 (20-30cm),,0.63,Flake,1,,backed,Backed artefact,,,,,CR - BA,CR - BA,No,,,0,,,,y,,,,,,,,,,,,,3.95,3.95,6,2,14.91,,,15.98,13.44,,,,108.2,16.8,12.4,1.35483871,159.75,76.5,41.987,48.895,0.755
1201,ID=1201,ID=1201QUNAABCF,1201,AW20466,24.26,15.843,11.589,0.955399835,20466,1200-1500,6,F1 QUARTZ,F QUARTZ,F1,QUARTZ,UNKNOWN,BCJ AREA F,BCJ AREA F - area 1 - north,Lake George,,F57,,6,No,111,20466,,3 (20-30cm),,1.26,Flake,1,,backed,Backed artefact,,,,,CR - BA,CR - BA,No,,,0,,,,y,,,,,,,,,,,,,4.2,4.33,6,2,20.43,,,25.11,20.5,,,,209.1,24.3,15.7,1.547770701,138.25,26.5,24.981,73.28,0.662
1202,ID=1202,ID=1202QUNAABCF,1202,AW20701,15.251,10.801,7.399,0.97029703,20701,1200-1500,6,F1 QUARTZ,F QUARTZ,F1,QUARTZ,UNKNOWN,BCJ AREA F,BCJ AREA F - area 1 - north,Lake George,,F58,,6,No,42,20701,,3 (20-30cm),,0.39,Flake,1,,backed,Backed artefact,,,,,CR - BA,CR - BA,No,,,0,,,,y,,,,,,,,,,,,,2.64,1.45,6,1,15.67,,,12.3,,,,,94.7,15.3,10.8,1.416666667,93.5,39,146.31,45.774,0.722
1203,ID=1203,ID=1203QUNAABCF,1203,AW20846,17.809,10.786,6.834,0.767477118,20846,1200-1500,6,F1 QUARTZ,F QUARTZ,F1,QUARTZ,UNKNOWN,BCJ AREA F,BCJ AREA F - area 1 - north,Lake George,,F59,,6,No,43,20846,,3 (20-30cm),,0.51,Flake,1,,backed,Backed artefact,,,,,CR - BA,CR - BA,No,,,0,,,,y,,,,,,,,,,,,,2.15,2.12,6,2,18.4,,,14.74,11.95,,,,121.3,17.9,11.1,1.612612613,179,41,72.072,55.537,0.632
1204,ID=1204,ID=1204QUNAABCF,1204,AW21172,15.851,11.545,4.504,0.568292221,21172,1200-1500,6,F1 QUARTZ,F QUARTZ,F1,QUARTZ,UNKNOWN,BCJ AREA F,BCJ AREA F - area 1 - north,Lake George,,F60,,6,No,78,21172,,3 (20-30cm),,0.73,Flake,1,,backed,Backed artefact,,,,,CR - BA,CR - BA,No,,,0,,,,y,,,,,,,,,,,,,3.7,2.43,3,1,15.77,,,12.36,,,,,139.8,17.1,11.9,1.43697479,189.25,50.25,97.539,51.002,0.737
