order,SpecimenID,Site,X,Y,Spit,Raw.material,Key
3689,17787,BCJ area F7,15,13,2,quartz,NA
3690,17788,BCJ area F7,15.5,13.5,2,silcrete,NA
3691,17789,BCJ area F7,15.8,13.7,4,quartz,NA
3692,17790,BCJ area F7,15.3,13.65,4,quartz,NA
3693,17791,BCJ area F7,15.9,13.35,4,quartz,NA
3694,17792,BCJ area F7,15.35,13.2,4,silcrete,NA
3695,17793,BCJ area F7,15.95,13.095,4,silcrete,NA
3696,17794,BCJ area F7,15.1,13.85,4,silcrete,NA
3697,17795,BCJ area F7,15.7,13.05,4,quartz,NA
3698,17796,BCJ area F7,15.05,13.4,4,quartz,NA
3699,17797,BCJ area F7,15.6,13.8,4,quartz,NA
3700,17798,BCJ area F7,16,13.15,4,quartz,NA
3701,17799,BCJ area F7,15.6,13.35,4,quartz,NA
3702,17800,BCJ area F7,15.25,13.05,4,quartz,NA
3703,17801,BCJ area F7,15.25,14,4,quartz,NA
3704,17802,BCJ area F7,15.85,13.55,4,quartz,NA
3705,17803,BCJ area F7,15.7,13.2,4,quartz,NA
3706,17804,BCJ area F7,16,13.45,4,quartz,NA
3707,17805,BCJ area F7,15.45,13.95,4,quartz,NA
3708,17806,BCJ area F7,15.25,13.8,4,quartz,NA
3709,17807,BCJ area F7,15.5,13.6,4,quartz,NA
3710,17808,BCJ area F7,15.85,13.95,6,silcrete,NA
3711,17809,BCJ area F7,16,13.8,6,silcrete,NA
3712,17810,BCJ area F7,15,13.75,6,silcrete,NA
3713,17811,BCJ area F7,15.65,13.6,6,quartz,NA
3714,17812,BCJ area F7,15.55,13.1,6,quartz,NA
3715,17813,BCJ area F7,15.3,13.3,6,quartz,NA
3716,17814,BCJ area F7,15.45,13.75,6,quartz,NA
3717,17815,BCJ area F7,15.1,13.05,6,quartz,NA
3718,17816,BCJ area F7,15.95,13.05,6,quartz,NA
3719,17817,BCJ area F7,15.8,13.45,6,quartz,NA
3720,17818,BCJ area F7,15.1,13.1,6,quartz,NA
3721,17819,BCJ area F7,15.6,13.6,6,quartz,NA
3722,17820,BCJ area F7,15.9,13.8,6,quartz,NA
3723,17821,BCJ area F7,15.4,13.75,6,quartz,NA
3724,17822,BCJ area F7,16,13.45,6,quartz,NA
3725,17823,BCJ area F7,15.45,13.3,8,quartz,NA
3726,17824,BCJ area F7,16,13.195,8,quartz,NA
3727,17825,BCJ area F7,15.2,13.95,8,quartz,NA
4003,17826,BCJ area F7,15,16,4,quartz,NA
4004,17827,BCJ area F7,15.5,16.5,4,quartz,NA
4005,17828,BCJ area F7,15.8,16.7,6,quartz,NA
4006,17829,BCJ area F7,15.3,16.65,6,quartz,NA
4007,17830,BCJ area F7,15.9,16.35,6,quartz,NA
4008,17831,BCJ area F7,15.35,16.2,6,quartz,NA
4009,17832,BCJ area F7,15.95,16.095,6,quartz,NA
4010,17833,BCJ area F7,15.1,16.85,6,quartz,NA
4011,17834,BCJ area F7,15.7,16.05,6,silcrete,NA
4012,17835,BCJ area F7,15.05,16.4,6,silcrete,NA
4013,17836,BCJ area F7,15.6,16.8,6,silcrete,NA
4014,17837,BCJ area F7,16,16.15,6,silcrete,NA
4015,17838,BCJ area F7,15.6,16.35,6,silcrete,NA
4016,17839,BCJ area F7,15.25,16.05,6,silcrete,NA
4018,17841,BCJ area F7,15.85,16.55,8,quartz,NA
4019,17842,BCJ area F7,15.7,16.2,8,quartz,NA
4020,17843,BCJ area F7,16,16.45,8,quartz,NA
4021,17844,BCJ area F7,15.45,16.95,8,quartz,NA
4022,17845,BCJ area F7,15.25,16.8,10,quartz,NA
4023,17846,BCJ area F7,15.5,16.6,10,quartz,NA
4024,17847,BCJ area F7,12,13,2,quartz,NA
4025,17848,BCJ area F7,12.5,13.5,2,quartz,NA
4026,17849,BCJ area F7,12.8,13.7,2,quartz,NA
4027,17850,BCJ area F7,12.3,13.65,4,quartz,NA
4028,17851,BCJ area F7,12.9,13.35,4,silcrete,NA
4029,17852,BCJ area F7,12.35,13.2,4,silcrete,NA
4030,17853,BCJ area F7,12.95,13.095,6,silcrete,NA
4031,17854,BCJ area F7,12.1,13.85,6,silcrete,NA
4032,17855,BCJ area F7,12.7,13.05,6,silcrete,NA
