order,SpecimenID,Image.J.ID,Site,X,Y,Spit,Raw.material,Key,activity_area
1,160,,BCJ area G,16.42,18.37,4,silcrete,Flake local G4,Area 1
1,161,,BCJ area G,16.67,18.62,4,silcrete,Flake local G4,Area 1
1,162,,BCJ area G,16.01,18.97,4,silcrete,Flake local G4,Area 1
1,163,,BCJ area G,16.74,18.01,4,silcrete,Flake local G4,Area 1
1,164,,BCJ area G,16.14,18.47,4,silcrete,Flake local G4,Area 1
1,165,,BCJ area G,16.04,18.01,4,silcrete,Flake local G4,Area 1
1,166,,BCJ area G,16.29,18.35,4,silcrete,Flake local G4,Area 1
1,167,,BCJ area G,16.47,18.51,4,silcrete,Flake local G4,Area 1
1,168,,BCJ area G,16.72,18.76,4,silcrete,Flake local G4,Area 1
1,169,,BCJ area G,16.05,18.51,4,silcrete,Flake local G4,Area 1
1,170,,BCJ area G,16.75,18.12,4,silcrete,Flake local G4,Area 1
1,171,,BCJ area G,16.15,18.61,4,silcrete,Flake local G4,Area 1
1,172,,BCJ area G,16.4,18.86,4,silcrete,Flake local G4,Area 1
1,173,,BCJ area G,16.16,18.05,4,silcrete,Flake local G4,Area 1
1,174,,BCJ area G,16.4,18.26,4,silcrete,Flake local G4,Area 1
1,175,,BCJ area G,16.22,18.1,4,silcrete,Flake local G4,Area 1
1,178,,BCJ area G,16.89,18.72,4,silcrete,Flake local G4,Area 1
1,188,,BCJ area G,16.51,18.81,4,silcrete,Flake local G4,Area 1
1,194,,BCJ area G,16.01,18.94,4,silcrete,Flake local G4,Area 1
1,206,,BCJ area G,16.7,18.85,6,silcrete,Flake local G4,Area 1
1,207,,BCJ area G,16.45,18.305,6,silcrete,Flake local G4,Area 1
1,208,,BCJ area G,16.29,18.85,6,silcrete,Flake local G4,Area 1
1,209,,BCJ area G,16.4,18.285,6,silcrete,Flake local G4,Area 1
1,210,,BCJ area G,16.04,18.655,6,silcrete,Flake local G4,Area 1
1,211,,BCJ area G,16.04,18.285,6,silcrete,Flake local G4,Area 1
1,212,,BCJ area G,16.29,18.85,6,silcrete,Flake local G4,Area 1
1,213,,BCJ area G,16.47,18.695,6,silcrete,Flake local G4,Area 1
1,214,,BCJ area G,16.22,18.445,6,silcrete,Flake local G4,Area 1
1,215,,BCJ area G,16.05,18.695,6,silcrete,Flake local G4,Area 1
1,216,,BCJ area G,16,18,8,silcrete,Flake local G4,Area 1
1,217,,BCJ area G,16.24,18.21,8,silcrete,Flake local G4,Area 1
1,218,,BCJ area G,16.42,18.97,8,silcrete,Flake local G4,Area 1
1,219,,BCJ area G,16.47,18.62,8,silcrete,Flake local G4,Area 1
1,220,,BCJ area G,16.01,18.97,8,silcrete,Flake local G4,Area 1
1,221,,BCJ area G,16.04,18.1,8,silcrete,Flake local G4,Area 1
1,222,,BCJ area G,16.05,18.47,8,silcrete,Backed artefact imported,Area 1
1,223,,BCJ area G,16.42,18.1,8,silcrete,Flake local G4,Area 1
1,224,,BCJ area G,16.67,18.35,8,silcrete,Flake local G4,Area 1
1,225,,BCJ area G,16.85,18.51,8,silcrete,Flake local G4,Area 1
1,252,,BCJ area G,16.01,18.4,10,silcrete,Flake local G4,Area 1
1,269,,BCJ area G,16.02,18.5,14,silcrete,Backed artefact local G4,Area 1
1,271,,BCJ area G,17,18,4,silcrete,Flake local G4,Area 1
1,273,,BCJ area G,17.42,18.37,4,silcrete,Flake local G4,Area 1
1,274,,BCJ area G,17.67,18.72,4,silcrete,Flake local G4,Area 1
1,275,,BCJ area G,17.01,18.97,4,silcrete,Flake local G4,Area 1
1,276,,BCJ area G,17.74,18.1,4,silcrete,Flake local G4,Area 1
1,277,,BCJ area G,17.14,18.07,4,silcrete,Flake local G4,Area 1
1,278,,BCJ area G,17.04,18.1,4,silcrete,Flake local G4,Area 1
1,279,,BCJ area G,17.29,18.35,4,silcrete,Flake local G4,Area 1
1,289,,BCJ area G,17.46,18.21,6,silcrete,Backed artefact local G4,Area 1
1,290,,BCJ area G,17.64,18.07,6,silcrete,Flake local G4,Area 1
1,291,,BCJ area G,17.89,18.72,6,silcrete,Flake local G4,Area 1
1,292,,BCJ area G,17.23,18.07,6,silcrete,Flake local G4,Area 1
1,293,,BCJ area G,17.96,18.92,6,silcrete,Flake local G4,Area 1
1,294,,BCJ area G,17.36,18.67,6,silcrete,Flake local G4,Area 1
1,295,,BCJ area G,17.26,18.2,6,silcrete,Flake local G4,Area 1
1,296,,BCJ area G,17.51,18.45,6,silcrete,Flake local G4,Area 1
1,309,,BCJ area G,17.44,18.81,8,silcrete,Flake local G4,Area 1
1,310,,BCJ area G,17.69,18.75,8,silcrete,Flake local G4,Area 1
1,311,,BCJ area G,17.02,18.81,8,silcrete,Flake local G4,Area 1
1,312,,BCJ area G,17.81,18.5,8,silcrete,Flake local G4,Area 1
1,313,,BCJ area G,17.21,18.91,8,silcrete,Flake local G4,Area 1
1,314,,BCJ area G,17.46,18.96,8,silcrete,Flake local G4,Area 1
1,315,,BCJ area G,17.22,18.35,8,silcrete,Flake local G4,Area 1
1,316,,BCJ area G,17.46,18.66,8,silcrete,Flake local G4,Area 1
1,317,,BCJ area G,17.28,18.4,8,silcrete,Core local G4,Area 1
1,318,,BCJ area G,17.52,18.71,8,silcrete,Flake local G4,Area 1
1,319,,BCJ area G,17.7,18.87,8,silcrete,Flake local G4,Area 1
1,320,,BCJ area G,17.45,18.52,8,silcrete,Flake local G4,Area 1
1,321,,BCJ area G,17.29,18.87,8,silcrete,Flake local G4,Area 1
1,322,,BCJ area G,17.4,18.5,8,silcrete,Flake local G4,Area 1
1,333,,BCJ area G,17.04,18.44,10,silcrete,Flake local G4,Area 1
1,334,,BCJ area G,17.07,18.17,10,silcrete,Flake local G4,Area 1
1,335,,BCJ area G,17.05,18.54,10,silcrete,Flake local G4,Area 1
1,336,,BCJ area G,17.45,18.17,10,silcrete,Flake local G4,Area 1
1,337,,BCJ area G,17.7,18.42,10,silcrete,Flake local G4,Area 1
1,338,,BCJ area G,17.88,18.68,10,silcrete,Flake local G4,Area 1
1,340,,BCJ area G,17.46,18.68,10,silcrete,Flake local G4,Area 1
1,353,,BCJ area G,17.29,18.27,14,silcrete,Flake local G4,Area 1
1,354,,BCJ area G,17.54,18.52,14,silcrete,Flake local G4,Area 1
1,356,,BCJ area G,17.64,17.21,4,silcrete,Flake local G4,Area 1
1,357,,BCJ area G,17.42,17.07,4,silcrete,Core local G4,Area 1
1,358,,BCJ area G,17.67,17.22,4,silcrete,Flake local G4,Area 1
1,370,,BCJ area G,17.16,17.05,6,silcrete,Flake local G4,Area 1
1,371,,BCJ area G,17.34,17.16,6,silcrete,Flake local G4,Area 1
1,373,,BCJ area G,17.76,17.31,6,silcrete,Backed artefact local G4,Area 1
1,374,,BCJ area G,17.64,17.47,6,silcrete,Flake local G4,Area 1
1,375,,BCJ area G,17.89,17.12,6,silcrete,Flake local G4,Area 1
1,376,,BCJ area G,17.83,17.47,6,silcrete,Flake local G4,Area 1
1,377,,BCJ area G,17.96,17.2,6,silcrete,Flake local G4,Area 1
1,378,,BCJ area G,17.36,17.57,6,silcrete,Flake local G4,Area 1
1,379,,BCJ area G,17.16,17.2,6,silcrete,Flake local G4,Area 1
1,380,,BCJ area G,17.51,17.45,6,silcrete,Flake local G4,Area 1
1,381,,BCJ area G,17.4,17.5,6,silcrete,Flake local G4,Area 1
1,395,,BCJ area G,17.02,17.81,8,silcrete,Flake local G4,Area 1
1,396,,BCJ area G,17.81,17.5,8,silcrete,Flake local G4,Area 1
1,397,,BCJ area G,17.91,17.91,8,silcrete,Flake local G4,Area 1
1,398,,BCJ area G,17.46,17.96,8,silcrete,Flake local G4,Area 1
1,399,,BCJ area G,17.92,17.15,8,silcrete,Flake local G4,Area 1
1,400,,BCJ area G,17.66,17.36,8,silcrete,Flake local G4,Area 1
1,401,,BCJ area G,17.28,17.2,8,silcrete,Flake local G4,Area 1
1,402,,BCJ area G,17.52,17.41,8,silcrete,Flake local G4,Area 1
1,403,,BCJ area G,17.7,17.57,8,silcrete,Flake local G4,Area 1
1,404,,BCJ area G,17.45,17.82,8,silcrete,Flake local G4,Area 1
1,405,,BCJ area G,17.79,17.17,8,silcrete,Flake local G4,Area 1
1,406,,BCJ area G,17.34,17.3,8,silcrete,Flake local G4,Area 1
1,407,,BCJ area G,17.04,17.67,8,silcrete,Flake local G4,Area 1
1,408,,BCJ area G,17.04,17.3,8,silcrete,Flake local G4,Area 1
1,409,,BCJ area G,17.79,17.05,8,silcrete,Flake local G4,Area 1
1,410,,BCJ area G,17.57,17.71,8,silcrete,Flake local G4,Area 1
1,411,,BCJ area G,17.82,17.46,8,silcrete,Flake local G4,Area 1
1,412,,BCJ area G,17.05,17.71,8,silcrete,Flake local G4,Area 1
1,413,,BCJ area G,17.04,17.04,8,silcrete,Flake local G4,Area 1
1,426,,BCJ area G,17.19,17.65,10,silcrete,Flake local G4,Area 1
1,427,,BCJ area G,17.44,17.9,10,silcrete,Flake local G4,Area 1
1,428,,BCJ area G,17.92,17.09,10,silcrete,Flake local G4,Area 1
1,429,,BCJ area G,17.44,17.3,10,silcrete,Flake local G4,Area 1
1,430,,BCJ area G,17.16,17.14,10,silcrete,Flake local G4,Area 1
1,431,,BCJ area G,17.5,17.35,10,silcrete,Flake local G4,Area 1
1,432,,BCJ area G,17.68,17.51,10,silcrete,Flake local G4,Area 1
1,434,,BCJ area G,17.27,17.51,12,silcrete,Flake local G4,Area 1
1,437,,BCJ area G,16.62,17.37,4,silcrete,Flake local G4,Area 1
1,438,,BCJ area G,16.97,17.62,4,silcrete,Flake local G4,Area 1
1,439,,BCJ area G,16.01,17.37,4,silcrete,Flake local G4,Area 1
1,440,,BCJ area G,16.94,17.1,4,silcrete,Backed artefact imported,Area 1
1,441,,BCJ area G,16.14,17.47,4,silcrete,Flake local G4,Area 1
1,442,,BCJ area G,16.04,17.1,4,silcrete,Flake local G4,Area 1
1,443,,BCJ area G,16.59,17.35,4,silcrete,Flake local G4,Area 1
1,444,,BCJ area G,16.77,17.51,4,silcrete,Flake local G4,Area 1
1,445,,BCJ area G,16.72,17.76,4,silcrete,Flake local G4,Area 1
1,446,,BCJ area G,16.15,17.51,4,silcrete,Flake local G4,Area 1
1,447,,BCJ area G,16.75,17.2,4,silcrete,Flake local G4,Area 1
1,448,,BCJ area G,16.25,17.61,4,silcrete,Flake local G4,Area 1
1,449,,BCJ area G,16.54,17.86,4,silcrete,Flake local G4,Area 1
1,450,,BCJ area G,16.26,17.05,4,silcrete,Flake local G4,Area 1
1,462,,BCJ area G,16.94,17.86,6,silcrete,Flake local G4,Area 1
1,463,,BCJ area G,16.37,17.61,6,silcrete,Flake local G4,Area 1
1,464,,BCJ area G,16.47,17.3,6,silcrete,Flake local G4,Area 1
1,465,,BCJ area G,16.81,17.51,6,silcrete,Flake local G4,Area 1
1,466,,BCJ area G,16.99,17.67,6,silcrete,Flake local G4,Area 1
1,478,,BCJ area G,16.66,18.16,8,silcrete,Flake local G4,Area 1
1,479,,BCJ area G,16.32,17.35,8,silcrete,Flake local G4,Area 1
1,480,,BCJ area G,16.76,17.56,8,silcrete,Flake local G4,Area 1
1,481,,BCJ area G,16.48,17.4,8,silcrete,Flake local G4,Area 1
1,482,,BCJ area G,16.82,17.61,8,silcrete,Flake local G4,Area 1
1,483,,BCJ area G,16.87,17.17,8,silcrete,Flake local G4,Area 1
1,499,,BCJ area G,18,18,2,silcrete,Flake local G4,Area 1
1,500,,BCJ area G,18.24,18.21,4,silcrete,Flake local G4,Area 1
1,501,,BCJ area G,18.42,18.37,4,silcrete,Flake local G4,Area 1
1,512,,BCJ area G,18.62,18.2,6,silcrete,Flake local G4,Area 1
1,513,,BCJ area G,18.02,18.61,6,silcrete,Flake local G4,Area 1
1,514,,BCJ area G,18.27,18.86,6,silcrete,Flake local G4,Area 1
1,520,,BCJ area G,18.76,18.72,8,silcrete,Flake local G4,Area 1
1,521,,BCJ area G,18.1,18.47,8,silcrete,Flake local G4,Area 1
1,522,,BCJ area G,18.83,18.2,8,silcrete,Flake local G4,Area 1
1,524,,BCJ area G,18.23,18.57,8,silcrete,Flake local G4,Area 1
1,525,,BCJ area G,18.13,18.2,8,silcrete,Flake local G4,Area 1
1,533,,BCJ area G,18.38,18.45,10,silcrete,Flake local G4,Area 1
1,534,,BCJ area G,18.15,18.67,10,silcrete,Backed artefact local G4,Area 1
1,535,,BCJ area G,18.48,18.4,10,silcrete,Flake local G4,Area 1
1,536,,BCJ area G,18.02,18.77,10,silcrete,Flake local G4,Area 1
1,537,,BCJ area G,18.02,18.4,10,silcrete,Flake local G4,Area 1
1,538,,BCJ area G,18.27,18.65,10,silcrete,Flake local G4,Area 1
1,539,,BCJ area G,18.45,18.81,10,silcrete,Flake local G4,Area 1
1,540,,BCJ area G,18.7,18.65,10,silcrete,Flake local G4,Area 1
1,541,,BCJ area G,18.03,18.81,10,silcrete,Flake local G4,Area 1
1,542,,BCJ area G,18.68,18.5,10,silcrete,Flake local G4,Area 1
1,543,,BCJ area G,18.08,18.91,10,silcrete,Flake local G4,Area 1
1,547,,BCJ area G,18.33,18.93,12,silcrete,Flake local G4,Area 1
1,549,,BCJ area G,18.39,18.38,2,silcrete,Flake local G4,Area 1
1,550,,BCJ area G,17,16,2,silcrete,Flake local G4,Area 1
1,553,,BCJ area G,17.24,16.21,4,silcrete,Flake local G4,Area 1
1,572,,BCJ area G,17.01,16.37,6,chert,Flake local G4,Area 1
1,573,,BCJ area G,17.26,16.2,6,silcrete,Flake local G4,Area 1
1,574,,BCJ area G,17.51,16.45,6,silcrete,Flake local G4,Area 1
1,575,,BCJ area G,17.69,16.11,6,silcrete,Flake local G4,Area 1
1,576,,BCJ area G,17.94,16.16,6,silcrete,Flake local G4,Area 1
1,577,,BCJ area G,17.27,16.61,6,silcrete,Flake local G4,Area 1
1,602,,BCJ area G,17.04,16.5,8,silcrete,Flake local G4,Area 1
1,603,,BCJ area G,17.29,16.75,8,silcrete,Flake local G4,Area 1
1,604,,BCJ area G,17.47,16.91,8,silcrete,Flake local G4,Area 1
1,605,,BCJ area G,17.22,16.66,8,silcrete,Flake local G4,Area 1
1,606,,BCJ area G,17.05,16.91,8,silcrete,Flake local G4,Area 1
1,608,,BCJ area G,17.3,16.34,8,silcrete,Flake local G4,Area 1
1,609,,BCJ area G,17.48,16.5,8,silcrete,Flake local G4,Area 1
1,610,,BCJ area G,17.53,16.25,8,silcrete,Flake local G4,Area 1
1,627,,BCJ area G,17,15.5,4,silcrete,Flake local G4,Area 1
1,628,,BCJ area G,17.24,15.81,4,silcrete,Flake local G4,Area 1
1,629,,BCJ area G,17.42,15.77,4,silcrete,Flake local G4,Area 1
1,630,,BCJ area G,17.67,15.62,4,silcrete,Flake local G4,Area 1
1,657,,BCJ area G,17.27,15.93,6,silcrete,Flake local G4,Area 1
1,658,,BCJ area G,17.51,15.51,6,silcrete,Flake local G4,Area 1
1,714,,BCJ area G,19,18,4,silcrete,Flake local G4,Area 1
1,715,,BCJ area G,19.24,18.21,4,silcrete,Flake local G4,Area 1
1,716,,BCJ area G,19.5,18.3,4,silcrete,Scraper imported,Area 1
1,717,,BCJ area G,19.67,18.62,4,silcrete,Flake local G4,Area 1
1,720,,BCJ area G,19.14,18.47,6,silcrete,Flake local G4,Area 1
1,721,,BCJ area G,19.04,18.1,6,silcrete,Flake local G4,Area 1
1,729,,BCJ area G,19.16,18.05,8,silcrete,Flake local G4,Area 1
1,730,,BCJ area G,19.4,18.26,8,silcrete,Flake local G4,Area 1
1,731,,BCJ area G,19.22,18.1,8,silcrete,Flake local G4,Area 1
1,732,,BCJ area G,19.46,18.31,8,silcrete,Flake local G4,Area 1
1,737,,BCJ area G,19.36,18.57,10,silcrete,Flake local G4,Area 1
1,738,,BCJ area G,19.26,18.2,10,silcrete,Flake local G4,Area 1
1,739,,BCJ area G,19.51,18.45,10,silcrete,Flake local G4,Area 1
1,742,,BCJ area G,18,17.9,4,silcrete,Flake local G4,Area 1
1,743,,BCJ area G,18.24,17.21,4,silcrete,Flake local G4,Area 1
