ID,X105_LG_Bas_clean.tps,X105_LG_Bas_ID_added.tps,Amy.s.ID.number,Length,Max.Width,LMW_matlab,BASI_matlab,BASI_corrected,symmetry,form,AW,spit,activity_area,Qu_present,raw_material,SITE,Pit,Weight,Retouch,mode_of_entry,import,mode_import,Use_wear,Max_thick,BA.max.back.thick,BA.cut.edge,BA.backed.edge.1,BA.backed.edge.2,BA.backed.edge.3,no_backed_edges,pc_backed_perimeter,retouch_class,pc_backed_max_length,Area,Max_Length,Max_Width,elongation,Perimeter,Round
1195,ID=1195,ID=1195QUNAABCF,AW19500,12.064,11.046,1.691,0.280338196,0.280338196,asymmetrical,geometric,19500,6,Area 2,Quartz,QUARTZ,BCJ AREA F,F48,0.81,backed,Locally produced,CR - BA,CR - BA,No,5.88,5.88,11.91,13.57,8.1,7.95,3,0.624815424,5 (>60% retouched perimeter),1.773652695,100.3,16.7,10,1.67,47.406,0.612
1196,ID=1196,ID=1196QUNAABCF,AW19926,10.565,9.169,2.225,0.421202082,0.421202082,asymmetrical,geometric,19926,4,Area 2,Quartz,QUARTZ,BCJ AREA F,F54,0.37,backed,Locally produced,CR - BA,CR - BA,No,3.15,3.71,10.64,10.05,4.09,9.43,3,0.652872417,5 (>60% retouched perimeter),1.916260163,74.9,12.3,9.6,1.28125,36.102,0.806
1197,ID=1197,ID=1197QUNAABCF,AW20034,8.712,11.324,3.611,0.828971534,0.828971534,symmetrical,geometric,20034,6,Area 2,Quartz,QUARTZ,BCJ AREA F,F54,0.35,backed,Locally produced,CR - BA,CR - BA,No,4.05,4.12,9.26,11.65,11.92,NA,2,0.643514347,5 (>60% retouched perimeter),1.997457627,70.3,11.8,9,1.311111111,36.627,0.738
1198,ID=1198,ID=1198QUNAABCF,AW20067,16.162,11.881,4.913,0.607969311,0.607969311,symmetrical,geometric,20067,6,Area 2,Quartz,QUARTZ,BCJ AREA F,F54,1.12,backed,Locally produced,CR - BA,CR - BA,No,5.68,5.38,16.76,15.41,13.27,NA,2,0.516970997,4 (50-59% retouched perimeter),1.567213115,145.8,18.3,12.5,1.464,55.477,0.662
1199,ID=1199,ID=1199QUNAABCF,AW20399,13.955,10.323,6.362,0.91178789,0.91178789,symmetrical,geometric,20399,6,Area 2,Quartz,QUARTZ,BCJ AREA F,F57,0.46,backed,Locally produced,CR - BA,CR - BA,No,4.13,3.8,14.62,10.87,NA,NA,1,0.265083159,1 (10-29% retouched perimeter),0.754861111,90.6,14.4,10.7,1.345794393,41.006,0.813
1200,ID=1200,ID=1200QUNAABCF,AW20442,14.306,10.842,6.445,0.901020551,0.901020551,symmetrical,geometric,20442,6,Area 2,Quartz,QUARTZ,BCJ AREA F,F57,0.63,backed,Locally produced,CR - BA,CR - BA,No,3.95,3.95,14.91,15.98,13.44,NA,2,0.601697515,5 (>60% retouched perimeter),1.751190476,108.2,16.8,12.4,1.35483871,48.895,0.755
1201,ID=1201,ID=1201QUNAABCF,AW20466,24.26,15.843,11.589,0.955399835,0.955399835,symmetrical,geometric,20466,6,Area 2,Quartz,QUARTZ,BCJ AREA F,F57,1.26,backed,Locally produced,CR - BA,CR - BA,No,4.2,4.33,20.43,25.11,20.5,NA,2,0.622407205,5 (>60% retouched perimeter),1.876954733,209.1,24.3,15.7,1.547770701,73.28,0.662
1202,ID=1202,ID=1202QUNAABCF,AW20701,15.251,10.801,7.399,0.97029703,0.97029703,symmetrical,geometric,20701,6,Area 2,Quartz,QUARTZ,BCJ AREA F,F58,0.39,backed,Locally produced,CR - BA,CR - BA,No,2.64,1.45,15.67,12.3,NA,NA,1,0.268711496,1 (10-29% retouched perimeter),0.803921569,94.7,15.3,10.8,1.416666667,45.774,0.722
1203,ID=1203,ID=1203QUNAABCF,AW20846,17.809,10.786,6.834,0.767477118,0.767477118,symmetrical,geometric,20846,6,Area 2,Quartz,QUARTZ,BCJ AREA F,F59,0.51,backed,Locally produced,CR - BA,CR - BA,No,2.15,2.12,18.4,14.74,11.95,NA,2,0.480580514,3 (40-49% retouched perimeter),1.491061453,121.3,17.9,11.1,1.612612613,55.537,0.632
1204,ID=1204,ID=1204QUNAABCF,AW21172,15.851,11.545,4.504,0.568292221,0.568292221,asymmetrical,geometric,21172,6,Area 2,Quartz,QUARTZ,BCJ AREA F,F60,0.73,backed,Locally produced,CR - BA,CR - BA,No,3.7,2.43,15.77,12.36,NA,NA,1,0.242343438,1 (10-29% retouched perimeter),0.722807018,139.8,17.1,11.9,1.43697479,51.002,0.737
1205,ID=1205,ID=1205QUNAABCF,AW21822,15.416,13.831,4.441,0.576154645,0.576154645,asymmetrical,geometric,21822,4,Area 2,Quartz,QUARTZ,BCJ AREA F,F63,0.85,backed,Locally produced,CR - BA,CR - BA,No,5,3.58,15.3,17.94,14.83,NA,2,0.607234184,5 (>60% retouched perimeter),1.861931818,132.4,17.6,13.6,1.294117647,53.966,0.798
1206,ID=1206,ID=1206SIPROBCF,AW18015,18.781,12.426,4.568,0.486449071,0.486449071,asymmetrical,geometric,18015,6,Area 4,Silcrete_Quartz_present,SILCRETE,BCJ AREA F,F7G,0.87,backed,Locally produced,CR - BA,CR - BA,No,4.49,4.67,19.44,18.43,8.41,NA,2,0.478841076,3 (40-49% retouched perimeter),1.242592593,148.9,21.6,13,1.661538462,56.052,0.524
1207,ID=1207,ID=1207SIPROBCF,AW18796,14.434,12.805,6.913,0.957877234,0.957877234,symmetrical,geometric,18796,8,Area 4,Silcrete_Quartz_present,SILCRETE,BCJ AREA F,F18D,0.94,backed,Locally produced,CR - BA,CR - BA,No,4.67,4.67,14.71,13.83,13.51,NA,2,0.564806016,4 (50-59% retouched perimeter),1.752564103,132.9,15.6,13,1.2,48.406,0.885
1208,ID=1208,ID=1208SIPROBCF,AW18312,29.614,9.582,9.557,0.645437969,0.540285,asymmetrical,backed point,18312,4,Area 4,Silcrete_Quartz_present,SILCRETE,BCJ AREA F,F7O,0.85,backed,Imported,Imported BA,Imported BA,No,3.38,3.5,29.41,24.83,NA,NA,1,0.332467463,2 (30-39% retouched perimeter),0.824916944,198.4,30.1,10,3.01,74.684,0.295
1209,ID=1209,ID=1209SIPROBCF,AW18227,13.453,13.052,7.039,1.046458039,0.996060358,symmetrical,geometric,18227,4,Area 4,Silcrete_Quartz_present,SILCRETE,BCJ AREA F,F7M,0.64,backed,Locally produced,CR - BA,CR - BA,Yes,3.77,3.69,13.74,13.83,12.63,NA,2,0.583333333,4 (50-59% retouched perimeter),1.8,125.3,14.7,12.9,1.139534884,45.36,0.9
1210,ID=1210,ID=1210CHPROBCF,AW18870,10.988,6.858,3.176,0.578085184,0.578085184,asymmetrical,geometric,18870,4,Area 3,Chert_Quartz_present,CHERT,BCJ AREA F,F18N,0.22,backed,Locally produced,CR - BA,CR - BA,No,2.34,2.74,11.43,7.17,7.21,NA,2,0.447737958,3 (40-49% retouched perimeter),1.239655172,57.6,11.6,7.2,1.611111111,32.117,0.63
1211,ID=1211,ID=1211SISETBCF,AW18614,20.639,14.479,6.757,0.654779786,0.654779786,symmetrical,geometric,18614,8,Area 4,Silcrete_Quartz_present,SILCRETE,BCJ AREA F,F7Z,0.76,backed,Imported,Imported BA,Imported BA,Possible,3.41,NA,21.04,17.77,14.7,NA,2,0.525540593,4 (50-59% retouched perimeter),1.524413146,186.8,21.3,15,1.42,61.784,0.695
