order,Image.J.ID,SpecimenID,Site,notX,notY,Pit,X,Y,first.pit,TP.spit,Spit,Weight,Raw.material,Category,Hue.1,Key,Key_don't plot,Nodule,Breakage,LONG.TRAN.Breakage.type,Cortex,Cortex.col,Retouch,Use.wear,Dors.scar.term,bipolar,Notes,Potlid,Core,Area,Max.Length,Max.Width,FeretX,FeretY,Feret.angle,Perimeter,Round,X.1,Y.1,Image,FQAFP.cat.d,Sed..Col..No.,Nodule.Image,Lustre,Colour.uniformity,Texture,Chroma.1,Hue.2,Chroma.2,Hue.3,Chroma.3,Grain.uniformity,Matrix.grain.size,Largest.grains,Depth..mm.,Platform,O.hang.rem.,Plat.crushing,Termination,Dorsal.scars,Perc..length,Platform.width,Max.P.width,Termination.width,Plat.thick,Max.thick,Date.of.entry,Crazing,Crenated,Ext..Plat..Angle,Arris,confidence,Break.width.prox.,Break.width.distal,Break.width.long.,Plotted
3689,1,17787,BCJ area F7,15,13,F7,15,13,1,1 (0-10cm),2,0.11,quartz,Flake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.062,10.012,8.121,14,116.75,177.138,29.713,0.973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/08/2015,NA,NA,NA,NA,NA,NA,NA,NA,No
3690,2,17788,BCJ area F7,NA,NA,F7,15.5,13.5,NA,1 (0-10cm),2,0.03,silcrete,Flake,NA,NA,NA,F1,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.562,7.846,5,33.5,114.5,112.479,22.692,0.639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/08/2015,NA,NA,NA,NA,NA,NA,NA,NA,No
3691,3,17789,BCJ area F7,NA,NA,F7,15.8,13.7,NA,2 (10-20cm),4,4.37,quartz,Flake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306.625,26.82,20.166,6.25,85.25,163.761,83.315,0.836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/08/2015,NA,NA,NA,NA,NA,NA,NA,NA,No
3692,4,17790,BCJ area F7,NA,NA,F7,15.3,13.65,NA,2 (10-20cm),4,0.15,quartz,Flake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,13.94,5.727,38,100.5,57.45,33.506,0.397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/08/2015,NA,NA,NA,NA,NA,NA,NA,NA,No
3693,5,17791,BCJ area F7,NA,NA,F7,15.9,13.35,NA,2 (10-20cm),4,0.88,quartz,C Core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.812,14.758,9.171,50.25,97,51.189,38.592,0.641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/08/2015,NA,NA,NA,NA,NA,NA,NA,NA,No
3694,6,17792,BCJ area F7,NA,NA,F7,15.35,13.2,NA,2 (10-20cm),4,0.56,silcrete,C Core,NA,NA,NA,F3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.812,14.708,6.935,65,99.25,58.201,36.627,0.469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/08/2015,NA,NA,NA,NA,NA,NA,NA,NA,No
3695,7,17793,BCJ area F7,NA,NA,F7,15.95,13.095,NA,2 (10-20cm),4,0.11,silcrete,Flake,NA,NA,NA,F3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.5,7.85,6.328,80.5,92.25,142.765,23.546,0.871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/08/2015,NA,NA,NA,NA,NA,NA,NA,NA,No
3696,8,17794,BCJ area F7,NA,NA,F7,15.1,13.85,NA,2 (10-20cm),4,0.03,silcrete,"Angular shatter, non-diagnostic",NA,NA,NA,F3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.875,8.344,3.692,94,89.5,98.616,20.399,0.424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/08/2015,NA,NA,NA,NA,NA,NA,NA,NA,No
3697,9,17795,BCJ area F7,NA,NA,F7,15.7,13.05,NA,2 (10-20cm),4,0.05,quartz,Flake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.25,9.055,4.946,110.75,103.5,83.66,23.849,0.545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/08/2015,NA,NA,NA,NA,NA,NA,NA,NA,No
3698,10,17796,BCJ area F7,NA,NA,F7,15.05,13.4,NA,2 (10-20cm),4,0.05,quartz,Flake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.062,8.201,4.922,110.25,89.25,142.431,21.228,0.581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/08/2015,NA,NA,NA,NA,NA,NA,NA,NA,No
3699,11,17797,BCJ area F7,NA,NA,F7,15.6,13.8,NA,2 (10-20cm),4,0.05,quartz,Flake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.375,5.551,3.942,119.5,96.75,54.162,14.925,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/08/2015,NA,NA,NA,NA,NA,NA,NA,NA,No
3700,12,17798,BCJ area F7,NA,NA,F7,16,13.15,NA,2 (10-20cm),4,0.05,quartz,Flake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.438,8.355,6.771,118.75,103.75,38.928,25.91,0.878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/08/2015,NA,NA,NA,NA,NA,NA,NA,NA,No
3701,13,17799,BCJ area F7,NA,NA,F7,15.6,13.35,NA,2 (10-20cm),4,0.05,quartz,Flake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.812,8.382,6.156,126.5,86.25,107.354,24.203,0.698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/08/2015,NA,NA,NA,NA,NA,NA,NA,NA,No
3702,14,17800,BCJ area F7,NA,NA,F7,15.25,13.05,NA,2 (10-20cm),4,0.05,quartz,Flake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.375,5.489,5,139.75,94,120.069,16.692,0.925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/08/2015,NA,NA,NA,NA,NA,NA,NA,NA,No
3703,15,17801,BCJ area F7,NA,NA,F7,15.25,14,NA,2 (10-20cm),4,0.05,quartz,Flake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.125,7.786,5.5,137.75,99.75,132.397,21.399,0.767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/08/2015,NA,NA,NA,NA,NA,NA,NA,NA,No
3704,16,17802,BCJ area F7,NA,NA,F7,15.85,13.55,NA,2 (10-20cm),4,0.05,quartz,Flake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.562,9.086,5.119,147.5,95,7.907,23.203,0.579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/08/2015,NA,NA,NA,NA,NA,NA,NA,NA,No
3705,17,17803,BCJ area F7,NA,NA,F7,15.7,13.2,NA,2 (10-20cm),4,0.05,quartz,Flake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.375,9.582,7.458,148.5,103,15.124,28.41,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/08/2015,NA,NA,NA,NA,NA,NA,NA,NA,No
3706,18,17804,BCJ area F7,NA,NA,F7,16,13.45,NA,2 (10-20cm),4,0.05,quartz,"Rock, non-diagnostic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.812,10.35,6.718,160.75,98.25,127.147,29.799,0.687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/08/2015,NA,NA,NA,NA,NA,NA,NA,NA,No
3707,19,17805,BCJ area F7,NA,NA,F7,15.45,13.95,NA,2 (10-20cm),4,0.05,quartz,"Rock, non-diagnostic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.938,15.225,8.158,129.75,98,150.489,52.259,0.436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/08/2015,NA,NA,NA,NA,NA,NA,NA,NA,No
3708,20,17806,BCJ area F7,NA,NA,F7,15.25,13.8,NA,2 (10-20cm),4,0.05,quartz,"Rock, non-diagnostic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,6.671,5.479,150.75,82,102.995,19.874,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/08/2015,NA,NA,NA,NA,NA,NA,NA,NA,No
3709,21,17807,BCJ area F7,NA,NA,F7,15.5,13.6,NA,2 (10-20cm),4,0.05,quartz,"Rock, non-diagnostic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.125,10.404,6.364,134.25,85,144.782,35.506,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/08/2015,NA,NA,NA,NA,NA,NA,NA,NA,No
3710,22,17808,BCJ area F7,NA,NA,F7,15.85,13.95,NA,3 (20-30cm),6,0.16,silcrete,Flake,NA,NA,NA,F4,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.562,12.816,5.938,14,69,69.444,33.642,0.421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/08/2015,NA,NA,NA,NA,NA,NA,NA,NA,No
3711,23,17809,BCJ area F7,NA,NA,F7,16,13.8,NA,3 (20-30cm),6,6.05,silcrete,Flake,NA,NA,NA,F5A,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,559,40.946,19.03,23.75,62.5,174.394,108.301,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/08/2015,NA,NA,NA,NA,NA,NA,NA,NA,No
3712,24,17810,BCJ area F7,NA,NA,F7,15,13.75,NA,3 (20-30cm),6,0.14,silcrete,Flake,NA,NA,NA,F5A,1,NA,NA,NA,NA,NA,NA,NA,RT FLAKE,NA,NA,49.938,10.796,6.998,74.5,64.75,137.816,29.324,0.657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/08/2015,NA,NA,NA,NA,NA,NA,NA,NA,No
3713,25,17811,BCJ area F7,NA,NA,F7,15.65,13.6,NA,3 (20-30cm),6,0.54,quartz,Flake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.312,13.832,9.98,92.5,69.25,6.226,40.335,0.757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/08/2015,NA,NA,NA,NA,NA,NA,NA,NA,No
3714,26,17812,BCJ area F7,NA,NA,F7,15.55,13.1,NA,3 (20-30cm),6,0.2,quartz,Flake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.938,10.124,6.99,113,76.5,69.775,31.324,0.703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/08/2015,NA,NA,NA,NA,NA,NA,NA,NA,No
3715,27,17813,BCJ area F7,NA,NA,F7,15.3,13.3,NA,3 (20-30cm),6,1.56,quartz,Flake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170.312,30.923,10.061,13,51.5,75.964,79.401,0.268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/08/2015,NA,NA,NA,NA,NA,NA,NA,NA,No
3716,28,17814,BCJ area F7,NA,NA,F7,15.45,13.75,NA,3 (20-30cm),6,1.79,quartz,Flake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.25,19.612,8.994,29.5,50.75,72.951,49.431,0.406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/08/2015,NA,NA,NA,NA,NA,NA,NA,NA,No
3717,29,17815,BCJ area F7,NA,NA,F7,15.1,13.05,NA,3 (20-30cm),6,0.58,quartz,Flake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.125,23.405,7.127,41.75,48.5,66.721,56.295,0.311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/08/2015,NA,NA,NA,NA,NA,NA,NA,NA,No
3718,30,17816,BCJ area F7,NA,NA,F7,15.95,13.05,NA,3 (20-30cm),6,0.4,quartz,Flake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,16.441,9.527,60.25,48.75,61.876,44.017,0.568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/08/2015,NA,NA,NA,NA,NA,NA,NA,NA,No
3719,31,17817,BCJ area F7,NA,NA,F7,15.8,13.45,NA,3 (20-30cm),6,0.05,quartz,Flake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.062,10.062,7.373,80.5,42.5,153.435,40.36,0.729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/08/2015,NA,NA,NA,NA,NA,NA,NA,NA,No
3720,32,17818,BCJ area F7,NA,NA,F7,15.1,13.1,NA,3 (20-30cm),6,0.05,quartz,Flake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.938,8.4,5.889,94.25,44.75,53.471,24.324,0.673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/08/2015,NA,NA,NA,NA,NA,NA,NA,NA,No
3721,33,17819,BCJ area F7,NA,NA,F7,15.6,13.6,NA,3 (20-30cm),6,0.05,quartz,Flake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.625,8.004,6,102.25,41,178.21,23.496,0.795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/08/2015,NA,NA,NA,NA,NA,NA,NA,NA,No
3722,34,17820,BCJ area F7,NA,NA,F7,15.9,13.8,NA,3 (20-30cm),6,0.05,quartz,Flake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.625,8.934,4.705,116.25,43,162.072,25.703,0.526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/08/2015,NA,NA,NA,NA,NA,NA,NA,NA,No
3723,35,17821,BCJ area F7,NA,NA,F7,15.4,13.75,NA,3 (20-30cm),6,0.05,quartz,"Angular shatter, non-diagnostic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.125,7.492,5.316,127.5,38,154.29,23.203,0.734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/08/2015,NA,NA,NA,NA,NA,NA,NA,NA,No
