order,SpecimenID,Image.J.ID,Site,Pit,X,Y,Spit,TP.spit,Category,Raw.material,artefact,Key,activity_area,Nodule,Retouch,Use wear,CONJOIN SET,Breakage
1,160,,BCJ area G,G9,16.42,18.37,4,2 (10-20cm),Flake,silcrete,no,Flake local G4,Area 1,G4,no,No,NA,3
1,161,,BCJ area G,G9,16.67,18.62,4,2 (10-20cm),Flake,silcrete,no,Flake local G4,Area 1,G4,no,No,NA,3
1,162,,BCJ area G,G9,16.01,18.97,4,2 (10-20cm),Flake,silcrete,no,Flake local G4,Area 1,G4,no,No,NA,3
1,163,,BCJ area G,G9,16.74,18.01,4,2 (10-20cm),Flake,silcrete,no,Flake local G4,Area 1,G4,no,No,NA,3
1,164,,BCJ area G,G9,16.14,18.47,4,2 (10-20cm),Flake,silcrete,no,Flake local G4,Area 1,G4,no,No,NA,3
1,165,,BCJ area G,G9,16.04,18.01,4,2 (10-20cm),Flake,silcrete,no,Flake local G4,Area 1,G4,no,No,NA,3
1,166,,BCJ area G,G9,16.29,18.35,4,2 (10-20cm),Flake,silcrete,no,Flake local G4,Area 1,G4,no,No,NA,3
1,167,,BCJ area G,G9,16.47,18.51,4,2 (10-20cm),Flake,silcrete,no,Flake local G4,Area 1,G4,no,No,NA,1
1,168,,BCJ area G,G9,16.72,18.76,4,2 (10-20cm),Flake,silcrete,no,Flake local G4,Area 1,G4,no,No,NA,1
1,169,,BCJ area G,G9,16.05,18.51,4,2 (10-20cm),Flake,silcrete,no,Flake local G4,Area 1,G4,no,No,NA,1
1,170,,BCJ area G,G9,16.75,18.12,4,2 (10-20cm),Flake,silcrete,no,Flake local G4,Area 1,G4,no,Possible,NA,3
1,171,,BCJ area G,G9,16.15,18.61,4,2 (10-20cm),Flake,silcrete,no,Flake local G4,Area 1,G4,no,No,NA,3
1,172,,BCJ area G,G9,16.4,18.86,4,2 (10-20cm),Flake,silcrete,no,Flake local G4,Area 1,G4,no,No,NA,3
1,173,,BCJ area G,G9,16.16,18.05,4,2 (10-20cm),"Angular shatter, non-diagnostic",silcrete,no,Flake local G4,Area 1,G4,,,NA,
1,174,,BCJ area G,G9,16.4,18.26,4,2 (10-20cm),Flake,silcrete,no,Flake local G4,Area 1,G4,no,No,NA,3
1,175,,BCJ area G,G9,16.22,18.1,4,2 (10-20cm),Flake,silcrete,no,Flake local G4,Area 1,G4,no,No,NA,3
1,178,,BCJ area G,G9,16.89,18.72,4,2 (10-20cm),Flake,silcrete,no,Flake local G4,Area 1,G4,no,No,NA,1
1,188,,BCJ area G,G9,16.51,18.81,4,2 (10-20cm),Flake,silcrete,no,Flake local G4,Area 1,G4,no,No,NA,1
1,194,,BCJ area G,G9,16.01,18.94,4,2 (10-20cm),Flake,silcrete,no,Flake local G4,Area 1,G4,no,No,NA,1
1,206,,BCJ area G,G9,16.7,18.85,6,3 (20-30cm),Flake,silcrete,no,Flake local G4,Area 1,G4R,no,No,NA,2
1,207,,BCJ area G,G9,16.45,18.305,6,3 (20-30cm),Flake,silcrete,no,Flake local G4,Area 1,G4,no,No,NA,3
1,208,,BCJ area G,G9,16.29,18.85,6,3 (20-30cm),Flake,silcrete,no,Flake local G4,Area 1,G4,no,No,G4AO,3
1,209,,BCJ area G,G9,16.4,18.285,6,3 (20-30cm),Flake,silcrete,no,Flake local G4,Area 1,G4,no,No,G4D,1
1,210,,BCJ area G,G9,16.04,18.655,6,3 (20-30cm),Flake,silcrete,no,Flake local G4,Area 1,G4,no,No,NA,3
1,211,,BCJ area G,G9,16.04,18.285,6,3 (20-30cm),Flake,silcrete,no,Flake local G4,Area 1,G4,no,No,NA,3
1,212,,BCJ area G,G9,16.29,18.85,6,3 (20-30cm),Flake,silcrete,no,Flake local G4,Area 1,G4,no,No,G4G,1
1,213,,BCJ area G,G9,16.47,18.695,6,3 (20-30cm),Flake,silcrete,no,Flake local G4,Area 1,G4,no,No,G4M,1
1,214,,BCJ area G,G9,16.22,18.445,6,3 (20-30cm),Flake,silcrete,no,Flake local G4,Area 1,G4,no,No,NA,3
1,215,,BCJ area G,G9,16.05,18.695,6,3 (20-30cm),Flake,silcrete,no,Flake local G4,Area 1,G4,no,No,NA,6
1,216,,BCJ area G,G9,16,18,8,4 (30-40cm),Flake,silcrete,no,Flake local G4,Area 1,G4,no,No,NA,3
1,217,,BCJ area G,G9,16.24,18.21,8,4 (30-40cm),Flake,silcrete,no,Flake local G4,Area 1,G4,no,No,NA,6
1,218,,BCJ area G,G9,16.42,18.97,8,4 (30-40cm),Flake,silcrete,no,Flake local G4,Area 1,G4,no,No,NA,3
1,219,,BCJ area G,G9,16.47,18.62,8,4 (30-40cm),Flake,silcrete,no,Flake local G4,Area 1,G4,no,No,NA,2
1,220,,BCJ area G,G9,16.01,18.97,8,4 (30-40cm),Flake,silcrete,no,Flake local G4,Area 1,G4,,,G4F,3
1,221,,BCJ area G,G9,16.04,18.1,8,4 (30-40cm),Flake,silcrete,no,Flake local G4,Area 1,G4,no,No,NA,3
1,222,,BCJ area G,G9,16.05,18.47,8,4 (30-40cm),Flake,silcrete,Backed artefact,Backed artefact imported,Area 1,ISOSILC,backed,Yes 1 edge,NA,1
1,223,,BCJ area G,G9,16.42,18.1,8,4 (30-40cm),Flake,silcrete,no,Flake local G4,Area 1,G4,no,No,NA,3
1,224,,BCJ area G,G9,16.67,18.35,8,4 (30-40cm),Flake,silcrete,no,Flake local G4,Area 1,G4,no,No,NA,2
1,225,,BCJ area G,G9,16.85,18.51,8,4 (30-40cm),Flake,silcrete,no,Flake local G4,Area 1,G4,no,No,NA,3
1,252,,BCJ area G,G9,16.01,18.4,10,5 (40-50cm),Flake,silcrete,no,Flake local G4,Area 1,G4,no,No,G4B,3
1,269,,BCJ area G,G9,16.02,18.5,14,7 (60-70cm),Flake,silcrete,Backed artefact,Backed artefact local G4,Area 1,G4,backed,No,NA,3
1,271,,BCJ area G,G9A,17,18,4,2 (10-20cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,2
1,273,,BCJ area G,G9A,17.42,18.37,4,2 (10-20cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,3
1,274,,BCJ area G,G9A,17.67,18.72,4,2 (10-20cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,3
1,275,,BCJ area G,G9A,17.01,18.97,4,2 (10-20cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,3
1,276,,BCJ area G,G9A,17.74,18.1,4,2 (10-20cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,G4AE,3
1,277,,BCJ area G,G9A,17.14,18.07,4,2 (10-20cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,3
1,278,,BCJ area G,G9A,17.04,18.1,4,2 (10-20cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,3
1,279,,BCJ area G,G9A,17.29,18.35,4,2 (10-20cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,G4E,3
1,289,,BCJ area G,G9A,17.46,18.21,6,3 (20-30cm),Flake,silcrete,Backed artefact,Backed artefact local G4,Area 1,G4,backed,No,G4AR,3
1,290,,BCJ area G,G9A,17.64,18.07,6,3 (20-30cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,3
1,291,,BCJ area G,G9A,17.89,18.72,6,3 (20-30cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,4
1,292,,BCJ area G,G9A,17.23,18.07,6,3 (20-30cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,G4AV,3
1,293,,BCJ area G,G9A,17.96,18.92,6,3 (20-30cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,2
1,294,,BCJ area G,G9A,17.36,18.67,6,3 (20-30cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,G4H,3
1,295,,BCJ area G,G9A,17.26,18.2,6,3 (20-30cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,2
1,296,,BCJ area G,G9A,17.51,18.45,6,3 (20-30cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,3
1,309,,BCJ area G,G9A,17.44,18.81,8,4 (30-40cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,3
1,310,,BCJ area G,G9A,17.69,18.75,8,4 (30-40cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,G4F,3
1,311,,BCJ area G,G9A,17.02,18.81,8,4 (30-40cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,3
1,312,,BCJ area G,G9A,17.81,18.5,8,4 (30-40cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,1
1,313,,BCJ area G,G9A,17.21,18.91,8,4 (30-40cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,G4B,1
1,314,,BCJ area G,G9A,17.46,18.96,8,4 (30-40cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,1
