"X105_LG_Bas_clean.tps","X105_LG_Bas_ID_added.tps","PhD.ID.number","spit","activity_area","Qu_present","raw_material","SITE","mode_of_entry","centsize","PC1","PC2","PC3","PC4","PC5","PC6"
"ID=1195","ID=1195QUNAABCF","PhD19500","6","Area 2","quartz","QUARTZ","BCJ AREA F","Locally produced",904.12841316928,-0.549030887479406,-0.0629625293662277,0.0164290743702302,0.0374078325031027,0.0411469245729077,0.103866554645619
"ID=1196","ID=1196QUNAABCF","PhD19926","4","Area 2","quartz","QUARTZ","BCJ AREA F","Locally produced",768.011189697129,-0.162537944827732,0.145933744706446,-0.0174900943127366,0.0222228405683575,0.0302580836450491,0.000975498325016765
"ID=1197","ID=1197QUNAABCF","PhD20034","6","Area 2","quartz","QUARTZ","BCJ AREA F","Locally produced",719.676446397963,-0.412692328687347,0.161294183817445,0.0182842823731696,-0.0360640010794055,-0.0107126091840124,0.0569915768970894
"ID=1198","ID=1198QUNAABCF","PhD20067","6","Area 2","quartz","QUARTZ","BCJ AREA F","Locally produced",1079.15186605037,-0.282730114932933,-0.108473243461811,0.00237127882779195,0.0601387843249843,0.0051714772157033,0.00814487579852857
"ID=1199","ID=1199QUNAABCF","PhD20399","6","Area 2","quartz","QUARTZ","BCJ AREA F","Locally produced",858.596456433405,-0.125370288911858,0.0297868149168308,0.0797189461772256,-0.0869971287089319,-0.0068482446662018,-0.0180140449891714
"ID=1200","ID=1200QUNAABCF","PhD20442","6","Area 2","quartz","QUARTZ","BCJ AREA F","Locally produced",950.12851104469,-0.304812013653107,-0.0784290203255601,0.0645153099041459,0.106235054359231,0.0237208266400383,-0.00584831929022941
"ID=1201","ID=1201QUNAABCF","PhD20466","6","Area 2","quartz","QUARTZ","BCJ AREA F","Locally produced",1409.80916261741,-0.0822838866061754,-0.0114599235169064,0.0780962592504651,0.0534580945293667,-0.105823992843966,0.00395776410246577
"ID=1202","ID=1202QUNAABCF","PhD20701","6","Area 2","quartz","QUARTZ","BCJ AREA F","Locally produced",932.802698859732,-0.122752175792783,-0.0138525911089092,0.0710215317372353,-0.0198101123639612,-0.0545720341409295,-0.00676231932392092
"ID=1203","ID=1203QUNAABCF","PhD20846","6","Area 2","quartz","QUARTZ","BCJ AREA F","Locally produced",1044.28704746348,-0.0088891391869765,-0.00250014468503115,0.0460985282613706,-0.057074179380156,-0.000749971388477818,-0.021311215463942
"ID=1204","ID=1204QUNAABCF","PhD21172","6","Area 2","quartz","QUARTZ","BCJ AREA F","Locally produced",1069.6042200272,-0.104901591525057,0.124688765817421,-0.0284447305754271,-0.0682202188157309,-0.0293267499742222,0.0155067363212131
"ID=1205","ID=1205QUNAABCF","PhD21822","4","Area 2","quartz","QUARTZ","BCJ AREA F","Locally produced",1029.48810095115,-0.319665867440299,-0.0326687343917047,0.0636647188468252,0.0438949022789849,0.0302760189316693,-0.0301234415612596
"ID=1206","ID=1206SIPROBCF","PhD18015","6","Area 4","silcrete - quartz present","SILCRETE","BCJ AREA F","Locally produced",1178.47820302286,0.0154927859652263,0.242593292442159,0.0560285740027407,0.00827221198688191,-0.0602202218479176,0.0120617184747302
"ID=1207","ID=1207SIPROBCF","PhD18796","8","Area 4","silcrete - quartz present","SILCRETE","BCJ AREA F","Locally produced",1020.26794887422,-0.203528395219707,0.0672229414738049,0.0227184364456701,0.00082947308330513,0.0469816495255448,-0.0267710777536156
"ID=1208","ID=1208SIPROBCF","PhD18312","4","Area 4","silcrete - quartz present","SILCRETE","BCJ AREA F","Imported",1404.80919522902,0.249982148295485,-0.194168136694777,0.0451840104241628,-0.0452675769476404,0.0612242401926878,-0.0269229480845679
"ID=1209","ID=1209SIPROBCF","PhD18227","4","Area 4","silcrete - quartz present","SILCRETE","BCJ AREA F","Locally produced",981.145344737466,-0.21530614084316,0.0629000541178233,0.000569048452342641,-0.0420500605251383,0.0463374526699055,-0.00258781276732365
"ID=1210","ID=1210CHPROBCF","PhD18870","4","Area 3","chert - quartz present","CHERT","BCJ AREA F","Locally produced",684.8729809242,-0.135081590397587,-0.116407569988365,-0.000918655408042635,0.0166831624174482,-0.0169140453504216,-0.001221116398993
"ID=1211","ID=1211SISETBCF","PhD18614","8","Area 4","silcrete - quartz present","SILCRETE","BCJ AREA F","Imported",1267.84647631328,-0.0416804854960016,0.0303180040837362,0.0590617204821789,0.00506301940801226,0.0348594491122347,-0.0307980617532035
"ID=1212","ID=1212SISETBCF","PhD18773","8","Area 4","silcrete - quartz present","SILCRETE","BCJ AREA F","Imported",1139.50466212298,-0.112418890844876,0.00374492409954082,0.00536448640635944,0.0367666528195581,-0.0171237577125407,-0.0114498211519315
"ID=1213","ID=1213SIISOBCF","PhD18871","6","Area 4","silcrete - quartz present","SILCRETE","BCJ AREA F","Imported",637.942003633559,0.154756280755194,0.149749699536299,-0.0121440195212061,0.00749963938989787,-0.036607773810349,-0.0257824811274333
"ID=1214","ID=1214SIISOBCF","PhD19007","6","Area 3","silcrete - quartz present","SILCRETE","BCJ AREA F","Imported",825.234436387624,0.182346263556218,-0.00781571328837073,0.0227440882020068,0.0360694411444975,-0.00769096289287183,-0.0142148052396409
