ID,X105_LG_Bas_clean.tps,X105_LG_Bas_ID_added.tps,Amy.s.ID.number,spit,activity_area,Qu_present,raw_material,SITE,mode_of_entry,elongation
1195,ID=1195,ID=1195QUNAABCF,AW19500,6,Area 2,quartz,QUARTZ,BCJ AREA F,Locally produced,1.67
1196,ID=1196,ID=1196QUNAABCF,AW19926,4,Area 2,quartz,QUARTZ,BCJ AREA F,Locally produced,1.28125
1197,ID=1197,ID=1197QUNAABCF,AW20034,6,Area 2,quartz,QUARTZ,BCJ AREA F,Locally produced,1.311111111
1198,ID=1198,ID=1198QUNAABCF,AW20067,6,Area 2,quartz,QUARTZ,BCJ AREA F,Locally produced,1.464
1199,ID=1199,ID=1199QUNAABCF,AW20399,6,Area 2,quartz,QUARTZ,BCJ AREA F,Locally produced,1.345794393
1200,ID=1200,ID=1200QUNAABCF,AW20442,6,Area 2,quartz,QUARTZ,BCJ AREA F,Locally produced,1.35483871
1201,ID=1201,ID=1201QUNAABCF,AW20466,6,Area 2,quartz,QUARTZ,BCJ AREA F,Locally produced,1.547770701
1202,ID=1202,ID=1202QUNAABCF,AW20701,6,Area 2,quartz,QUARTZ,BCJ AREA F,Locally produced,1.416666667
1203,ID=1203,ID=1203QUNAABCF,AW20846,6,Area 2,quartz,QUARTZ,BCJ AREA F,Locally produced,1.612612613
1204,ID=1204,ID=1204QUNAABCF,AW21172,6,Area 2,quartz,QUARTZ,BCJ AREA F,Locally produced,1.43697479
1205,ID=1205,ID=1205QUNAABCF,AW21822,4,Area 2,quartz,QUARTZ,BCJ AREA F,Locally produced,1.294117647
1206,ID=1206,ID=1206SIPROBCF,AW18015,6,Area 4,silcrete - quartz present,SILCRETE,BCJ AREA F,Locally produced,1.661538462
1207,ID=1207,ID=1207SIPROBCF,AW18796,8,Area 4,silcrete - quartz present,SILCRETE,BCJ AREA F,Locally produced,1.2
1208,ID=1208,ID=1208SIPROBCF,AW18312,4,Area 4,silcrete - quartz present,SILCRETE,BCJ AREA F,Imported,3.01
1209,ID=1209,ID=1209SIPROBCF,AW18227,4,Area 4,silcrete - quartz present,SILCRETE,BCJ AREA F,Locally produced,1.139534884
1210,ID=1210,ID=1210CHPROBCF,AW18870,4,Area 3,chert - quartz present,CHERT,BCJ AREA F,Locally produced,1.611111111
1211,ID=1211,ID=1211SISETBCF,AW18614,8,Area 4,silcrete - quartz present,SILCRETE,BCJ AREA F,Imported,1.42
