order,Image.J.ID,SpecimenID,Site,notX,notY,X,Y,Spit,Raw.material,Key
3689,1,17787,BCJ area F7,15,13,15,13,2,quartz,NA
3690,2,17788,BCJ area F7,NA,NA,15.5,13.5,2,silcrete,NA
3691,3,17789,BCJ area F7,NA,NA,15.8,13.7,4,quartz,NA
3692,4,17790,BCJ area F7,NA,NA,15.3,13.65,4,quartz,NA
3693,5,17791,BCJ area F7,NA,NA,15.9,13.35,4,quartz,NA
3694,6,17792,BCJ area F7,NA,NA,15.35,13.2,4,silcrete,NA
3695,7,17793,BCJ area F7,NA,NA,15.95,13.095,4,silcrete,NA
3696,8,17794,BCJ area F7,NA,NA,15.1,13.85,4,silcrete,NA
3697,9,17795,BCJ area F7,NA,NA,15.7,13.05,4,quartz,NA
3698,10,17796,BCJ area F7,NA,NA,15.05,13.4,4,quartz,NA
3699,11,17797,BCJ area F7,NA,NA,15.6,13.8,4,quartz,NA
3700,12,17798,BCJ area F7,NA,NA,16,13.15,4,quartz,NA
3701,13,17799,BCJ area F7,NA,NA,15.6,13.35,4,quartz,NA
3702,14,17800,BCJ area F7,NA,NA,15.25,13.05,4,quartz,NA
3703,15,17801,BCJ area F7,NA,NA,15.25,14,4,quartz,NA
3704,16,17802,BCJ area F7,NA,NA,15.85,13.55,4,quartz,NA
3705,17,17803,BCJ area F7,NA,NA,15.7,13.2,4,quartz,NA
3706,18,17804,BCJ area F7,NA,NA,16,13.45,4,quartz,NA
3707,19,17805,BCJ area F7,NA,NA,15.45,13.95,4,quartz,NA
3708,20,17806,BCJ area F7,NA,NA,15.25,13.8,4,quartz,NA
3709,21,17807,BCJ area F7,NA,NA,15.5,13.6,4,quartz,NA
3710,22,17808,BCJ area F7,NA,NA,15.85,13.95,6,silcrete,NA
3711,23,17809,BCJ area F7,NA,NA,16,13.8,6,silcrete,NA
3712,24,17810,BCJ area F7,NA,NA,15,13.75,6,silcrete,NA
3713,25,17811,BCJ area F7,NA,NA,15.65,13.6,6,quartz,NA
3714,26,17812,BCJ area F7,NA,NA,15.55,13.1,6,quartz,NA
3715,27,17813,BCJ area F7,NA,NA,15.3,13.3,6,quartz,NA
3716,28,17814,BCJ area F7,NA,NA,15.45,13.75,6,quartz,NA
3717,29,17815,BCJ area F7,NA,NA,15.1,13.05,6,quartz,NA
3718,30,17816,BCJ area F7,NA,NA,15.95,13.05,6,quartz,NA
3719,31,17817,BCJ area F7,NA,NA,15.8,13.45,6,quartz,NA
3720,32,17818,BCJ area F7,NA,NA,15.1,13.1,6,quartz,NA
3721,33,17819,BCJ area F7,NA,NA,15.6,13.6,6,quartz,NA
3722,34,17820,BCJ area F7,NA,NA,15.9,13.8,6,quartz,NA
3723,35,17821,BCJ area F7,NA,NA,15.4,13.75,6,quartz,NA
3724,36,17822,BCJ area F7,NA,NA,16,13.45,6,quartz,NA
3725,37,17823,BCJ area F7,NA,NA,15.45,13.3,8,quartz,NA
3726,38,17824,BCJ area F7,NA,NA,16,13.195,8,quartz,NA
3727,39,17825,BCJ area F7,NA,NA,15.2,13.95,8,quartz,NA
4003,1,17826,BCJ area F7,15,16,15,16,4,quartz,NA
4004,2,17827,BCJ area F7,NA,NA,15.5,16.5,4,quartz,NA
4005,3,17828,BCJ area F7,NA,NA,15.8,16.7,6,quartz,NA
4006,4,17829,BCJ area F7,NA,NA,15.3,16.65,6,quartz,NA
4007,5,17830,BCJ area F7,NA,NA,15.9,16.35,6,quartz,NA
4008,6,17831,BCJ area F7,NA,NA,15.35,16.2,6,quartz,NA
4009,7,17832,BCJ area F7,NA,NA,15.95,16.095,6,quartz,NA
4010,8,17833,BCJ area F7,NA,NA,15.1,16.85,6,quartz,NA
4011,9,17834,BCJ area F7,NA,NA,15.7,16.05,6,silcrete,NA
4012,10,17835,BCJ area F7,NA,NA,15.05,16.4,6,silcrete,NA
4013,11,17836,BCJ area F7,NA,NA,15.6,16.8,6,silcrete,NA
4014,12,17837,BCJ area F7,NA,NA,16,16.15,6,silcrete,NA
4015,13,17838,BCJ area F7,NA,NA,15.6,16.35,6,silcrete,NA
4016,14,17839,BCJ area F7,NA,NA,15.25,16.05,6,silcrete,NA
4018,16,17841,BCJ area F7,NA,NA,15.85,16.55,8,quartz,NA
4019,17,17842,BCJ area F7,NA,NA,15.7,16.2,8,quartz,NA
4020,18,17843,BCJ area F7,NA,NA,16,16.45,8,quartz,NA
4021,19,17844,BCJ area F7,NA,NA,15.45,16.95,8,quartz,NA
4022,20,17845,BCJ area F7,NA,NA,15.25,16.8,10,quartz,NA
4023,21,17846,BCJ area F7,NA,NA,15.5,16.6,10,quartz,NA
4024,1,17847,BCJ area F7,12,13,12,13,2,quartz,NA
4025,2,17848,BCJ area F7,NA,NA,12.5,13.5,2,quartz,NA
4026,3,17849,BCJ area F7,NA,NA,12.8,13.7,2,quartz,NA
4027,4,17850,BCJ area F7,NA,NA,12.3,13.65,4,quartz,NA
4028,5,17851,BCJ area F7,NA,NA,12.9,13.35,4,silcrete,NA
4029,6,17852,BCJ area F7,NA,NA,12.35,13.2,4,silcrete,NA
