ID,X105_LG_Bas_clean.tps,X105_LG_Bas_ID_added.tps,PhD.ID.number,spit,activity_area,Qu_present,raw_material,SITE,mode_of_entry
1195,ID=1195,ID=1195QUNAABCF,PhD19500,6,Area 2,quartz,QUARTZ,BCJ AREA F,Locally produced
1196,ID=1196,ID=1196QUNAABCF,PhD19926,4,Area 2,quartz,QUARTZ,BCJ AREA F,Locally produced
1197,ID=1197,ID=1197QUNAABCF,PhD20034,6,Area 2,quartz,QUARTZ,BCJ AREA F,Locally produced
1198,ID=1198,ID=1198QUNAABCF,PhD20067,6,Area 2,quartz,QUARTZ,BCJ AREA F,Locally produced
1199,ID=1199,ID=1199QUNAABCF,PhD20399,6,Area 2,quartz,QUARTZ,BCJ AREA F,Locally produced
1200,ID=1200,ID=1200QUNAABCF,PhD20442,6,Area 2,quartz,QUARTZ,BCJ AREA F,Locally produced
1201,ID=1201,ID=1201QUNAABCF,PhD20466,6,Area 2,quartz,QUARTZ,BCJ AREA F,Locally produced
1202,ID=1202,ID=1202QUNAABCF,PhD20701,6,Area 2,quartz,QUARTZ,BCJ AREA F,Locally produced
1203,ID=1203,ID=1203QUNAABCF,PhD20846,6,Area 2,quartz,QUARTZ,BCJ AREA F,Locally produced
1204,ID=1204,ID=1204QUNAABCF,PhD21172,6,Area 2,quartz,QUARTZ,BCJ AREA F,Locally produced
1205,ID=1205,ID=1205QUNAABCF,PhD21822,4,Area 2,quartz,QUARTZ,BCJ AREA F,Locally produced
1206,ID=1206,ID=1206SIPROBCF,PhD18015,6,Area 4,silcrete - quartz present,SILCRETE,BCJ AREA F,Locally produced
1207,ID=1207,ID=1207SIPROBCF,PhD18796,8,Area 4,silcrete - quartz present,SILCRETE,BCJ AREA F,Locally produced
1208,ID=1208,ID=1208SIPROBCF,PhD18312,4,Area 4,silcrete - quartz present,SILCRETE,BCJ AREA F,Imported
1209,ID=1209,ID=1209SIPROBCF,PhD18227,4,Area 4,silcrete - quartz present,SILCRETE,BCJ AREA F,Locally produced
1210,ID=1210,ID=1210CHPROBCF,PhD18870,4,Area 3,chert - quartz present,CHERT,BCJ AREA F,Locally produced
